word,synonyms
abofetear,"['sopapear', 'cachetear', 'cruzar la cara', 'dar bofetadas', 'dar guantazos']"
abogacía,"['derecho', 'jurisprudencia', 'leyes']"
abogaducho,"['leguleyo', 'picapleitos']"
abogar,"['interceder', 'mediar', 'defender', 'patrocinar']"
abolengo,"['estirpe', 'linaje', 'casta', 'prosapia', 'alcurnia', 'origen', 'ascendencia', 'raza', 'cuna', 'nobleza', 'progenie', 'genealogía']"
abolición,"['cancelación', 'anulación', 'derogación', 'rescisión', 'revocación', 'suspensión', 'abrogación']"
abolir,"['cancelar', 'anular', 'derogar', 'detener', 'liquidar', 'revocar', 'suprimir', 'suspender', 'rescindir']"
abolladura,"['bollo', 'prominencia', 'aplastamiento', 'chichón']"
abollar,"['aplastar', 'hundir', 'deformar', 'chafar', 'apachurrar ', 'despachurrar ', 'espachurrar ']"
abollonar,"['bollar', 'repujar', 'marchamar', 'sellar', 'marcar']"
abombado,"['saltón', 'saliente', 'salido', 'prominente', 'protuberante']"
abombar,"['ahuevar', 'ahuecar', 'chafar']"
abombarse,"['abombar', 'abultar', 'ahuecar', 'combar', 'alabera ', 'arquear', 'engrosar', 'hinchar', 'engordar', 'exagerar']"
abominable,"['vitando', 'detestable', 'execrable', 'odioso']"
abominable hombre de las nieves,['yeti']
abominar,"['aborrecer', 'odiar', 'detestar', 'condenar', 'execrar', 'despreciar']"
abonado,"['apuntado', 'anotado', 'escrito', 'registrado', 'inscrito']"
abonar,"['pagar', 'satisfacer', 'retribuir', 'remunerar', 'enriquecer', 'acreditar', 'avalar', 'respaldar', 'sufragar']"
abono,"['nitrato', 'fertilizante', 'nitro', 'azoato']"
abordaje,"['choque', 'ataque', 'acometida', 'embestida', 'asalto', 'envite', 'empalme', 'derivación']"
abordar,"['topar', 'chocar', 'tocar', 'invadir', 'asaltar', 'atracar', 'acometer', 'afrontar', 'encarar', 'enfrentarse']"
aborigen,"['nativo', 'vernáculo', 'autóctono', 'originario', 'indígena', 'natural', 'oriundo', 'patrio']"
aborrascarse,"['nublarse', 'oscurecerse', 'encapotarse', 'cargarse', 'cubrirse', 'anubarrarse', 'cerrarse', 'enfoscarse', 'ennegrecerse', 'entoldarse']"
aborrecer,"['asquear', 'repugnar', 'repeler', 'desagradar', 'odiar', 'disgustar', 'fastidiar', 'hastiar', 'hartar']"
aborrecible,"['nefando', 'abominable', 'detestable', 'execrable', 'ignominioso', 'infame', 'vergonzoso', 'repugnante']"
aborrecimiento,"['náuseas', 'asco', 'repugnancia', 'repulsión', 'repulsa', 'aversión']"
aborregado,"['gregario', 'adocenado', 'dócil', 'vulgar', 'mediocre', 'servil']"
abortado,"['ahogado', 'sofocado', 'reprimido', 'extinguido']"
abortar,"['malparir', 'malograr', 'fracasar', 'impedir', 'frustrar', 'estropear', 'desgraciar']"
aborto,"['fracaso', 'malogro', 'engendro', 'monstruo', 'feto', 'pérdida', 'frustración']"
abotagarse,"['abotargarse', 'hincharse', 'inflarse', 'inflamarse', 'embotarse', 'engordar', 'embotijarse ', 'ofuscarse', 'embrutecerse ']"
abotargarse,"['abotagarse', 'hincharse', 'inflarse', 'inflamarse', 'embotarse', 'engordar', 'embotijarse ', 'ofuscarse', 'embrutecerse ']"
abotonar,"['abrochar', 'sujetar', 'ceñir', 'prender', 'cerrar']"
abovedado,"['arqueado', 'alabeado', 'curvado', 'combado', 'corvo']"
abra,"['ensenada', 'cala', 'bahía', 'caleta', 'rada', 'refugio', 'abrigo', 'broa', 'fiordo', 'anconada']"
abracadabrante,"['sorprendente', 'increíble', 'desconcertante', 'insólito']"
abrasado,"['agostado', 'seco', 'quemado', 'mustio', 'marchito', 'chuchurrido', 'árido']"
abrasador,"['urente', 'ardiente', 'urticante', 'vesicante', 'irritante']"
abrasamiento,"['quema', 'combustión', 'calcinación', 'ignición', 'incendio', 'fuego']"
abrasar,"['incendiar', 'calcinar', 'carbonizar', 'incinerar', 'quemar', 'achicharrar', 'chamuscar', 'arder']"
abrasión,"['erosión', 'rozamiento']"
abrazadera,"['anillo', 'anilla', 'ceñidor', 'zuncho', 'argolla', 'arandela', 'aro', 'arete', 'armella', 'hembrilla', 'sortija', 'alianza', 'cáncamo']"
abrazar,"['embrazar', 'agarrar', 'ceñir']"
abrazo,"['apretón', 'achuchón', 'estrujón', 'sobo', 'manoseo', 'revolcón', 'arrechucho', 'ataque', 'indisposición']"
abrebotellas,"['abrelatas', 'abridor']"
abrelatas,"['abridor', 'abrebotellas']"
abrevadero,"['bebedero', 'pila', 'pileta', 'pilón', 'fuente', 'manantial', 'venero', 'poza', 'laguna', 'naciente', 'surgencia ', 'alfaguara']"
abrevar,"['regar', 'remojar', 'saciar', 'refrescar', 'trasegar']"
abreviado,"['lacónico', 'escueto', 'conciso', 'parco', 'breve', 'cortante', 'seco', 'sobrio', 'sucinto', 'reducido', 'corto', 'efímero', 'momentáneo', 'pasajero', 'transitorio', 'limitado', 'perecedero', 'precario', 'temporal', 'exiguo', 'fugaz']"
abreviar,"['extractar', 'sintetizar', 'resumir', 'compendiar', 'condensar', 'esquematizar']"
abreviatura,"['sigla', 'iniciales']"
abridor,"['abrelatas', 'abrebotellas']"
abrigar,"['atrincherar', 'blindar', 'amurallar', 'defender', 'cubrir']"
abrigo,"['guarida', 'amparo', 'asilo', 'refugio']"
abriles,"['años', 'primaveras']"
abrillantado,"['lustroso', 'refulgente', 'brillante', 'resplandeciente', 'bruñido', 'reluciente', 'centelleante', 'deslumbrante', 'fulgente', 'rutilante', 'pulido', 'enlucido', 'lustrado']"
abrillantador,"['lustrador', 'limpiador', 'limpiabotas']"
abrillantar,"['pulir', 'lustrar', 'bruñir', 'pulimentar', 'encerar', 'charolar', 'acicalar', 'aluciar', 'enlucir']"
abrir,"['sajar', 'seccionar']"
abrirse,"['expansionarse', 'desahogarse', 'confiarse', 'confesarse']"
abrochar,"['abotonar', 'sujetar', 'ceñir', 'prender', 'cerrar']"
abrogación,"['cancelación', 'abolición', 'anulación', 'derogación', 'rescisión', 'revocación', 'suspensión']"
abrogar,"['abolir', 'derogar', 'anular', 'revocar', 'cancelar', 'casar']"
abroncar,"['reprender', 'regañar', 'amonestar', 'echar la bronca', 'abuchear', 'pitar', 'silbar', 'patalear', 'reñir']"
abrumado,"['enfaenado', 'agobiado', 'apurado', 'atosigado']"
abrumador,"['aplastante', 'apabullante', 'arrollador', 'demoledor', 'rotundo', 'total']"
abrumar,"['gravitar', 'agobiar']"
abrupto,"['escabroso', 'accidentado', 'intrincado', 'quebrado', 'irregular', 'fragoso']"
abruptuosidad,"['breña', 'escabrosidad', 'fragosidad', 'quebradura', 'aspereza', 'abruptuosidad ']"
absceso,"['llaga', 'úlcera', 'herida', 'fístula', 'pústula', 'postilla', 'chancro', 'afta', 'ulceración']"
absenta,['ajenjo']
absolución,"['gracia', 'perdón', 'indulgencia', 'indulto', 'amnistía', 'clemencia', 'misericordia']"
absolutismo,"['despotismo', 'autocracia', 'tiranía', 'dictadura', 'autoritarismo', 'totalitarismo']"
absolutista,"['autoritario', 'totalitario', 'absoluto', 'despótico', 'imperialista', 'mandón', 'imperioso', 'dominante', 'déspota', 'dictador', 'tirano', 'opresor']"
absoluto,"['total', 'completo', 'ilimitado', 'incondicional', 'definitivo', 'tajante', 'inmutable', 'invariable', 'categórico', 'rotundo']"
absolutorio,"['exculpatorio', 'eximente']"
absolver,"['levantar', 'indultar', 'perdonar', 'condonar', 'suspender', 'exculpar', 'amnistiar']"
absorbente,"['electrizante', 'emocionante', 'apasionante', 'estimulante', 'delirante', 'excitante', 'arrebatador']"
absorber,"['embeber', 'chupar', 'empapar', 'impregnar']"
absorción,"['empapamiento', 'impregnación', 'filtración', 'unión', 'anexión']"
absorto,"['boquiabierto', 'atónito', 'pasmado', 'admirado', 'enajenado', 'patidifuso', 'patitieso']"
abstemio,"['sobrio', 'frugal', 'enófobo ', 'aguado']"
abstención,"['renuncia', 'contención', 'inhibición', 'privación']"
abstenerse,"['inhibirse', 'desinteresarse', 'desentenderse', 'desligarse', 'despreocuparse', 'alejarse', 'apartarse', 'sustraerse', 'prescindir', 'privarse']"
abstinencia,"['vigilia', 'ayuno']"
abstracción,"['conceptualización ', 'idealización', 'generalización', 'inducción', 'idea', 'ensimismamiento', 'contemplación', 'meditación', 'concepto', 'noción', 'percepción', 'apercepción', 'aprehensión', 'representación']"
abstracto,"['general', 'universal', 'conceptual', 'inmaterial', 'impreciso', 'inconcreto', 'indeterminado', 'indefinido', 'puro', 'ideal', 'espiritual', 'vago']"
abstraer,"['objetivar', 'despersonalizar']"
abstraerse,"['reconcentrar', 'reunir', 'juntar', 'concentrar', 'ensimismarse', 'recogerse']"
abstraído,"['abismado', 'absorto', 'ensimismado', 'concentrado', 'meditabundo', 'embebido', 'pasmado', 'pensativo', 'caviloso']"
abstruso,"['incomprensible', 'ininteligible', 'impenetrable', 'inaccesible', 'recóndito', 'indescifrable', 'insondable']"
absurdo,"['ilógico', 'sin fuste', 'irracional', 'insensato', 'disparatado', 'desatinado', 'disparate', 'incongruencia', 'insensatez', 'desatino', 'descabellado']"
abuchear,"['gritar', 'abroncar', 'silbar', 'patalear']"
abucheo,"['griterío', 'bulla', 'ruido', 'algazara', 'alboroto', 'escándalo', 'clamor']"
abuelo,"['yayo', 'ascendiente', 'antepasado', 'antecesor', 'anciano', 'viejo']"
abulense,['avilés']
abulia,"['aburrimiento', 'dejación', 'desgana', 'desinterés', 'inacción', 'indiferencia', 'pasividad', 'apatía', 'desidia', 'tedio']"
abullonado,"['bulboso', 'abultado', 'hinchado', 'dilatado', 'tumefacto', 'tuberoso']"
abultado,"['recio', 'recia', 'fuerte', 'robusto', 'vigoroso', 'grueso', 'gordo', 'corpulento']"
abultamiento,"['juanete', 'callo', 'deformidad', 'hueso']"
abultar,"['abombar', 'ahuecar', 'combar', 'alabera ', 'arquear', 'abombarse', 'engrosar', 'hinchar', 'engordar', 'exagerar']"
abundancia,"['riqueza', 'exuberancia', 'multitud', 'profusión', 'copia', 'opulencia', 'afluencia', 'exceso', 'cantidad', 'prodigalidad', 'demasía', 'redundancia', 'fárrago', 'plétora', 'inflación', 'fertilidad', 'torrente', 'catarata', 'raudal', 'desbordamiento']"
abundante,"['opíparo', 'copioso', 'pantagruélico', 'sustancioso', 'espléndido', 'generoso']"
abundar,"['rebosar', 'derramarse', 'reverter', 'trasverter', 'abundar ', 'sobreabundar ', 'redundar ']"
aburguesado,"['burgués', 'adinerado', 'acomodado', 'opulento', 'pudiente', 'rico', 'poderoso', 'capitalista']"
